position COMBINED_rate(cM/Mb) Genetic_Map(cM)
24170 0.5903012560 0
25057 0.5915189237 0.0005235972
25065 0.5798652900 0.0005283294
25561 0.5774423614 0.0008159425
28165 0.5846720050 0.0023196025
29475 0.6522440796 0.0030855228
31010 0.7776298861 0.0040867174
34808 0.7270876443 0.0070401558
35254 0.6990703134 0.0073644368
35481 0.6745247949 0.0075231258
37354 1.0102559353 0.0087865107
41263 1.8855707286 0.0127356012
43423 1.8873715382 0.0168084340
45320 1.1649976717 0.0203887778
45444 0.6692633746 0.0205332375
47275 0.6676123973 0.0217586587
48585 0.6707247176 0.0226332310
50165 0.6894665898 0.0236929760
53970 3.6391235286 0.0263163964
55041 3.7786683390 0.0302138977
55072 3.8631976666 0.0303310364
55185 3.8834258924 0.0307675778
55657 2.4363218587 0.0326005548
57194 0.7923458362 0.0363451815
59019 0.6575594726 0.0377912126
59729 0.5987099104 0.0382580798
60334 0.5934521458 0.0386202993
61845 0.5932017258 0.0395170055
64161 0.5951738733 0.0408908607
68954 1.3764374307 0.0437435291
69277 2.7198335908 0.0441881184
70406 3.0028509428 0.0472588105
70853 3.0503333746 0.0486010849
71779 3.7449817706 0.0514256936
73093 3.7128735522 0.0563465996
73878 3.5355229055 0.0592612054
73946 3.0392996411 0.0595016209
74457 1.3390706634 0.0610547031
76888 1.2812608680 0.0643099838
81659 1.2184732728 0.0704228794
82825 1.2158538005 0.0718436193
83503 1.0557855447 0.0726679682
85032 1.0573998897 0.0742822643
85282 0.4875785749 0.0745466142
85884 0.3976381474 0.0748401365
86172 0.3996922180 0.0749546563
87705 0.4008798732 0.0755673845
87814 0.4022403799 0.0756110804
88009 0.4034588921 0.0756895173
92220 0.4031413937 0.0773884827
92472 0.4030654622 0.0774900743
94844 0.4029629458 0.0784461456
95320 0.4039468382 0.0786379559
95966 0.4045733717 0.0788989056
97141 0.4070227600 0.0793742793
101938 0.4539106344 0.0813267675
102998 0.4729468698 0.0818079127
103351 0.4793313912 0.0819748630
103418 0.4861171954 0.0820069782
103598 0.4934064394 0.0820944793
103626 0.4996800889 0.0821082947
104935 0.4466813292 0.0827623759
107408 0.4415563938 0.0838670188
108534 0.4198154332 0.0843642113
108691 0.5237231786 0.0844301224
110328 0.3956776659 0.0852874572
115186 0.4004398487 0.0872096593
116743 0.3993431152 0.0878331441
120719 0.3994612899 0.0894209324
122467 0.4017547084 0.0901191907
124242 0.5801720886 0.0908323053
124390 0.9115398934 0.0909181708
125102 0.9105169874 0.0915671872
125123 1.4657398499 0.0915863080
127429 5.4231257200 0.0949663041
130005 5.4239637440 0.1089362760
132314 5.4148197777 0.1214602083
135176 5.2415984490 0.1369574225
138835 5.1424537644 0.1561364312
140073 5.1424537644 0.1625027890
141389 5.1468304986 0.1692702581
142927 5.0944570957 0.1771860834
145035 0.4208156259 0.1879251990
152649 0.4186952050 0.1911292892
161057 0.4005082013 0.1946496784
165653 0.3637456361 0.1964904141
168306 0.3548419592 0.1974554313
174364 0.3540735779 0.1996050639
174428 0.3535344425 0.1996277246
175490 0.3513226449 0.2000031782
180281 0.3041709814 0.2016863650
181211 0.2424120360 0.2019692440
187889 0.2400111680 0.2035880716
192480 0.2384021070 0.2046899628
196279 0.2381145291 0.2055956524
199733 0.2374074105 0.2064181000
202300 0.2366923414 0.2070275248
204643 0.2362917217 0.2075820950
205160 0.2360879711 0.2077042578
209034 0.2360850866 0.2086188626
216162 0.2361929467 0.2103016771
216550 0.2462980022 0.2103933200
217125 0.2606632687 0.2105349413
217459 0.2846892160 0.2106220029
217913 0.3175158918 0.2107512518
224557 0.4075826616 0.2128608274
225314 0.5752907387 0.2131693674
226983 0.5878326428 0.2141295277
233563 0.9004050646 0.2179974665
233916 1.5726306716 0.2183153095
234387 1.5699196913 0.2190560185
235719 1.0289566736 0.2211471515
235796 0.4473162483 0.2212263812
238138 0.4357403385 0.2222739958
238251 0.4351640361 0.2223232345
238589 0.4344410088 0.2224703199
240642 0.4336431594 0.2233622273
244515 0.4325092446 0.2250417273
244804 0.4309196940 0.2251667225
244850 0.4303758315 0.2251865448
245378 0.4295490424 0.2254137832
249156 0.4297249782 0.2270366195
250381 0.4312735338 0.2275630326
251854 2.0640097678 0.2281982985
252636 2.0722671488 0.2298123541
258414 2.1421361420 0.2417859137
258475 2.2363323167 0.2419165840
259512 7.0513200445 0.2442356606
264404 7.0595305249 0.2787307183
266456 7.0812088400 0.2932168749
266827 7.0855270085 0.2958440034
268917 7.1221795810 0.3106527549
269672 7.2357514482 0.3160300005
269820 7.3433396284 0.3171008917
273147 7.1706476885 0.3415321826
274891 1.4488696027 0.3540377922
275374 1.1894161625 0.3547375962
276397 1.1456756447 0.3559543689
276917 1.0191999702 0.3565501203
277018 0.5777278926 0.3566530595
277679 0.4247299606 0.3570349376
279386 0.4220199323 0.3577599516
279416 0.4129216796 0.3577726122
281080 0.4130737816 0.3584597139
281386 0.4100447791 0.3585861145
281665 0.4113078919 0.3587005170
282192 0.4128123441 0.3589172762
286475 0.7696976686 0.3606853515
286773 0.9297117923 0.3609147214
287185 1.0691609456 0.3612977627
287327 1.1768730874 0.3614495835
288223 0.6043768077 0.3625040618
288688 0.5995634016 0.3627850970
289222 0.6064351380 0.3631052639
289294 0.6042998690 0.3631489272
289332 0.6005347531 0.3631718906
291674 0.7011135148 0.3645783430
292737 0.7438402881 0.3653236267
294144 0.7437657313 0.3663702100
296106 0.7438670101 0.3678294783
296690 0.7437804122 0.3682638967
297425 0.7439271039 0.3688105753
298309 0.7442432876 0.3694682068
299568 0.8136853198 0.3704052091
299954 0.7684614071 0.3707192917
300304 0.7567569569 0.3709882531
300318 0.7414569521 0.3709988477
300889 0.7377883881 0.3714222197
302460 0.5915675069 0.3725812852
302639 0.4548290196 0.3726871758
307175 0.4714089871 0.3747502802
307985 0.4714512671 0.3751321215
309141 0.4715313733 0.3756771192
309385 0.4900629524 0.3757921728
309664 0.5053375610 0.3759289004
312598 0.5068100470 0.3774115608
313818 0.5072294889 0.3780298691
315199 0.5068404259 0.3787303530
315783 0.5059737180 0.3790263478
315901 0.5051393180 0.3790860527
316782 0.5036327571 0.3795310804
317795 0.4954314661 0.3800412604
320426 0.4955251721 0.3813447406
321142 0.4799780236 0.3816995366
321591 0.4633234762 0.3819150468
326424 0.4567287886 0.3841542891
327868 0.4568250458 0.3848138055
332462 0.4939616695 0.3869124598
333343 0.5175632881 0.3873476400
335397 0.5248703141 0.3884107150
336265 0.5284315884 0.3888663024
337045 0.5330678352 0.3892784790
337270 0.5273467612 0.3893984193
338152 0.5264186671 0.3898635392
340246 0.5252711300 0.3909658598
340476 0.5245638713 0.3910866722
341210 0.5239241745 0.3914717021
344751 0.5237043071 0.3933269176
345417 0.5221028743 0.3936757047
348373 0.5636319586 0.3952190408
349416 0.6341050776 0.3958069089
350055 0.8414123797 0.3962121020
350213 1.0384000472 0.3963450452
354931 1.0609445312 0.4012442166
359093 1.0564804454 0.4056598677
359155 1.0543333792 0.4057253695
360908 1.0290661352 0.4075736159
364278 1.0152485731 0.4110415688
364421 1.0033471853 0.4111867494
366433 0.9626268504 0.4132054839
366477 0.9624812410 0.4132478395
367785 1.0054777370 0.4145067650
369952 1.0148821004 0.4166856352
370012 2.2845674566 0.4167465281
372752 2.4283469509 0.4230062430
373624 2.4463218938 0.4251237615
376258 2.4567293043 0.4315673734
376809 2.4712797350 0.4329210312
376884 2.4746475683 0.4331063772
379551 2.5052348989 0.4397062623
381810 2.7374150544 0.4453655879
382806 1.2391635715 0.4480920533
386363 1.2396712968 0.4524997581
388173 4.1864632498 0.4547435632
388562 4.4371561341 0.4563720974
389346 4.5372826657 0.4598508278
389555 4.5900229947 0.4607991199
390310 4.5950339731 0.4642645872
390760 4.5856198861 0.4663323525
395233 4.5747422447 0.4868438303
395498 4.5438832009 0.4880561370
395647 0.6445027567 0.4887331756
396417 0.4483930572 0.4892294427
396484 0.2637180868 0.4892594850
400674 0.2638894774 0.4903644638
401763 0.2640914274 0.4906518394
407586 0.2681873466 0.4921896438
410830 0.2708382410 0.4930596436
413931 0.2730111625 0.4938995130
414181 0.2759528321 0.4939677657
417620 0.2764676666 0.4949167675
420097 0.2803679721 0.4956015779
420511 0.2854728469 0.4957176503
420876 0.2893198789 0.4958218479
425556 0.3139689941 0.4971758649
429194 0.3374261217 0.4983180841
429604 0.7937692026 0.4984564288
430268 0.8613673130 0.4989834916
430646 0.9069808935 0.4993090884
431406 0.8999485029 0.4999983939
432369 0.9100360374 0.5008650443
433864 0.9226534129 0.5022255482
435539 0.7957188670 0.5037709926
435663 0.4718667375 0.5038696618
441363 0.4295318074 0.5065593022
447905 0.4296662972 0.5093692993
450418 0.4341583371 0.5104490507
451095 0.4405826418 0.5107429759
451184 0.4492794867 0.5107821877
451764 0.4665703908 0.5110427698
451968 0.4285424086 0.5111379502
454408 0.4333545340 0.5121835937
456923 0.4397797150 0.5132734803
461580 0.4405170231 0.5153215344
462673 0.4399033248 0.5158030196
464306 0.4398283186 0.5165213817
465813 0.4396781166 0.5171842030
467458 0.4395481128 0.5179074735
467962 0.4393372356 0.5181290057
473466 0.4393988146 0.5205471179
474955 0.4399784346 0.5212013827
476632 0.4411391700 0.5219392265
476687 0.4402496172 0.5219634892
477914 0.4418411921 0.5225036755
479141 1.1558640778 0.5230458146
480259 5.0001142502 0.5243380706
482030 4.9452911413 0.5331932730
487208 2.1500371726 0.5587999905
487298 1.2026885532 0.5589934939
487459 0.0516140576 0.5591871267
490338 0.0514156701 0.5593357236
492622 0.0513925577 0.5594531570
496376 0.0514800913 0.5596460846
496802 0.0514635147 0.5596680152
510624 0.2588259448 0.5603793439
512856 3.2139175610 0.5609570434
515313 2.9621382275 0.5688536388
520125 0.8414266056 0.5831074480
527805 0.8875167561 0.5895696043
531587 1.8490172836 0.5929261927
534454 5.8588678453 0.5982273252
536074 6.0134264954 0.6077186911
536443 6.1310358209 0.6099376455
541633 16.0983723736 0.6417577214
542596 16.1167201041 0.6572604540
544555 16.1219530425 0.6888331087
546105 16.1219530425 0.7138221359
549131 15.2478573609 0.7626071658
552699 1.1333645875 0.8170115209
563239 1.1188230679 0.8289571836
564115 0.4834387001 0.8299372726
566347 0.0038171881 0.8310163078
567921 0.0038171881 0.8310223161
