position COMBINED_rate(cM/Mb) Genetic_Map(cM)
18689850 -1 0
18859146 -1 0
18859574 -1 0
19218338 -1 0
19264716 1.0613147800 0
19268011 1.0635074207 0.0034970322
19269283 1.0642881078 0.0048498136
19272965 1.0669577561 0.0087685225
19279450 1.0327567060 0.0156877435
19282475 2.4343899166 0.0188118325
19282482 3.8340186461 0.0188288733
19282549 6.0869190127 0.0190857525
19282846 6.1025325386 0.0208935675
19282877 6.0467413931 0.0210827460
19282895 5.9938826360 0.0211915873
19283021 2.8954638951 0.0219468165
19283777 0.8061511719 0.0241357872
19284747 0.8057954538 0.0249177539
19285218 0.8101504802 0.0252972835
19285288 0.8490983457 0.0253539941
19285829 7.0452426820 0.0258133563
19286138 6.9992755133 0.0279903363
19288965 7.1012331501 0.0477772881
19289258 7.1012331501 0.0498579494
19290801 7.0773735573 0.0608151522
19291339 7.0773013456 0.0646227792
19291340 1.7541246483 0.0646298565
19292694 1.7548514771 0.0670049412
19293303 1.7562106188 0.0680736458
19293843 1.7601540266 0.0690219995
19294807 1.8460162068 0.0707187880
19295172 1.9951612789 0.0713925839
19295732 2.5624652756 0.0725098742
19296288 2.5539342550 0.0739346049
19296335 2.5390665974 0.0740546398
19296502 2.5116506852 0.0744786640
19296532 2.4759251603 0.0745540135
19296731 2.4419020193 0.0750467226
19297144 2.4023437244 0.0760552281
19297660 2.3504673020 0.0772948375
19297764 2.3064163976 0.0775392861
19298142 2.3023127882 0.0784111115
19298704 2.3080833540 0.0797050113
19299046 2.3323078962 0.0804943758
19299769 2.3649781750 0.0821806344
19299800 2.3970204834 0.0822539487
19300606 3.0249038486 0.0841859472
19300661 3.3185008218 0.0843523169
19301051 3.3181900482 0.0856465323
19301454 3.3185414986 0.0869837628
19301878 3.3170959214 0.0883908244
19301986 3.3104522382 0.0887490708
19302821 3.3104522382 0.0915132984
19303680 3.3095786573 0.0943569769
19309086 2.7647027588 0.1122485591
19309319 2.0450969799 0.1128927349
19315969 2.0443372705 0.1264926298
19318668 2.0443343677 0.1320102961
19319016 2.0446120432 0.1327217244
19319719 2.0462321933 0.1341590867
19319808 2.0485272970 0.1343412014
19324410 3.6808569586 0.1437685240
19325630 3.6801594784 0.1482591695
19326454 4.2064583380 0.1512916209
19328731 4.2764676671 0.1608697265
19328843 4.2763551814 0.1613486909
19329063 4.2781183926 0.1622894890
19329776 4.2790169961 0.1653397874
19330081 4.2776381043 0.1666448876
19330283 4.2775187231 0.1675089705
19330945 4.2777194420 0.1703406879
19331201 4.2775402574 0.1714357841
19331859 4.2781502796 0.1742504056
19333225 4.2792298805 0.1800943589
19333265 4.2799911600 0.1802655281
19333665 4.2805077825 0.1819775245
19333859 4.2803671973 0.1828079430
19334018 4.2803687863 0.1834885214
19334051 4.2785626897 0.1836297736
19334752 4.2802900941 0.1866290460
19335041 4.2801264332 0.1878660499
19335209 4.2801503318 0.1885851111
19335476 4.2810941955 0.1897279113
19335695 4.2766921072 0.1906654709
19336226 4.2908941491 0.1929363944
19336254 4.2900780856 0.1930565394
19336327 4.2825380759 0.1933697151
19336854 7.7282136562 0.1956266127
19337785 6.5901182429 0.2028215796
19340504 6.4296955725 0.2207401111
19342319 1.0229525682 0.2324100086
19352492 0.9218376758 0.2428165051
19359123 1.0938496344 0.2489292107
19359643 2.4908880084 0.2494980125
19360217 2.4896904086 0.2509277822
19360523 2.4833766570 0.2516896275
19361057 1.8554917583 0.2530157506
19361126 1.4945134442 0.2531437795
19361379 1.1855105441 0.2535218914
19362171 1.9948899474 0.2544608158
19362184 2.8220625321 0.2544867494
19362325 2.8632815463 0.2548846602
19362520 2.8229184702 0.2554430001
19362636 1.5627461775 0.2557704586
19362693 0.8512286092 0.2558595352
19363971 1.0409999131 0.2569474053
19365189 1.0468648938 0.2582153432
19365350 1.0482181442 0.2583838885
19365830 1.0405894267 0.2588870332
19365844 1.0408607065 0.2589016014
19366350 0.9215243570 0.2594282769
19366498 0.7319566856 0.2595646625
19369131 0.5767697190 0.2614919045
19374887 2.5112598138 0.2648117910
19375271 2.2693143779 0.2657761148
19377529 2.2546433656 0.2709002266
19379525 2.2534310739 0.2754004948
19380692 2.6762110304 0.2780302489
19380763 2.6755726748 0.2782202598
19381928 2.7424996566 0.2813373020
19383211 2.7493063336 0.2848559291
19384401 2.7290494558 0.2881276036
19384798 1.4952601558 0.2892110362
19385932 1.4485817230 0.2909066612
19385968 1.4046673541 0.2909588102
19386361 1.3998882914 0.2915108445
19386679 1.3391307894 0.2919560089
19387587 1.3376877201 0.2931719397
19388381 1.3371566652 0.2942340637
19391190 1.3370842571 0.2979901368
19391444 1.3377905544 0.2983297562
19392877 1.3380452191 0.3002468101
19394350 1.3388694938 0.3022177507
19396749 1.3401654609 0.3054296986
19400957 1.3483461776 0.3110691149
19402695 1.3595483024 0.3134125405
19406967 1.4119363240 0.3192205309
19409242 1.7380220594 0.3224326860
19411337 2.7803934814 0.3260738422
19411417 3.4054585504 0.3262962737
19411460 6.5007146118 0.3264427084
19411485 9.4720369006 0.3266052263
19412706 9.5223703273 0.3381705833
19415186 9.5229261984 0.3617860617
19416161 9.5217719421 0.3710709148
19416186 9.5237693508 0.3713089591
19416412 9.5090536967 0.3734613310
19416789 9.5090536967 0.3770462442
19416891 9.5095423348 0.3780161677
19417042 9.5095423348 0.3794521086
19417051 9.5095423348 0.3795376945
19417144 9.5088278747 0.3804220819
19417404 9.5087184997 0.3828943771
19417621 9.5083803560 0.3849577691
19418312 9.5092520401 0.3915280599
19418873 9.5092520401 0.3968627503
19419008 9.5095418194 0.3981464993
19419949 9.3910291233 0.4070949782
19420412 9.2089596498 0.4114430246
19420550 2.3725229165 0.4127138611
19421830 1.1763221652 0.4157506904
19424016 1.1742416171 0.4183221307
19424547 1.1700398644 0.4189456530
19426910 0.7508875025 0.4217104572
19431785 0.8607456824 0.4253710337
19432660 0.9422356642 0.4261241862
19433010 1.1055448028 0.4264539687
19433529 1.3735693205 0.4270277464
19434388 2.4644714723 0.4282076425
19435240 2.6175613713 0.4303073722
19435693 2.6340126129 0.4314931275
19436155 2.6264492185 0.4327100413
19437032 2.6245156679 0.4350134373
19437207 2.6236254927 0.4354727275
19437360 2.6211507309 0.4358741422
19437451 2.6118931000 0.4361126669
19438218 2.6126499336 0.4381159889
19440006 2.6293288294 0.4427874070
19441888 2.6330418041 0.4477358039
19442555 2.6327683745 0.4494920428
19442859 2.6331014312 0.4502924043
19442874 2.6299894496 0.4503319009
19442926 2.6289130392 0.4504686603
19444485 2.6275283017 0.4545671357
19447566 2.6258965961 0.4626625504
19447789 2.6234745348 0.4632481254
19449360 2.6166596746 0.4673696039
19453079 8.8727848489 0.4771009612
19453249 8.8732579336 0.4786093346
19453422 14.2836301538 0.4801444083
19456237 14.2836301538 0.5203528271
19456333 14.1954165002 0.5217240556
19456378 1.7269836085 0.5223628494
19457922 1.7268632260 0.5250293121
19459561 1.9065931097 0.5278596409
19459714 2.1172252289 0.5281513496
19460265 2.1166524310 0.5293179407
19460748 2.7025134405 0.5303402839
19461422 2.7009638508 0.5321617779
19462030 3.0997891008 0.5338039639
