position COMBINED_rate(cM/Mb) Genetic_Map(cM)
13043 -1 0
51088 2.5908669145 0
52467 2.5883019704 0.0035728055
53011 2.5894521262 0.0049808417
53206 2.5879692840 0.0054857849
57026 2.6003514829 0.0153718276
58275 2.6125936534 0.0186196666
58449 2.6242878381 0.0190742579
58980 2.7600396252 0.0204677547
59667 3.5761355129 0.0223639019
59717 3.7888071913 0.0225427087
60225 3.7884316807 0.0244674228
60532 5.4956847026 0.0256304713
62484 6.5968161288 0.0363580478
62526 7.8292824143 0.0366351141
62646 8.8746559937 0.0375746280
63098 8.8907988732 0.0415859725
65351 5.7241939613 0.0616169424
66675 2.8048775190 0.0691957752
73263 4.5396672151 0.0876743083
73422 4.7022589836 0.0883961154
78232 4.8704115859 0.1110139811
78382 4.9689507136 0.1117445428
81136 4.9854484147 0.1254290331
81461 4.9974603420 0.1270493038
81765 4.9994775364 0.1285685318
82081 5.0034680846 0.1301483667
82969 5.0073613465 0.1345914463
83173 5.0085995958 0.1356129480
83196 5.0082692276 0.1357281458
84782 5.0086092476 0.1436712608
86350 5.0089288918 0.1515247601
86502 5.0096311963 0.1522861173
86633 5.0145633255 0.1529423790
86802 5.0135592736 0.1537898402
87081 5.0123138046 0.1551886232
87542 5.0101414350 0.1574992999
87755 4.9959951260 0.1585664600
87761 4.9811163122 0.1585964360
87769 4.9803235338 0.1586362849
88525 4.9417825252 0.1624014095
88813 4.7293585019 0.1638246429
88828 4.4788677913 0.1638955833
88988 3.7311885981 0.1646122021
89183 3.1178047281 0.1653397839
90429 3.0999044069 0.1692245686
95631 3.5372843512 0.1853502713
102911 3.3988786851 0.2111017014
108420 4.6317057800 0.2298261240
108849 5.3529698876 0.2318131258
109300 5.3591002154 0.2342273152
109329 5.3632453680 0.2343827292
109700 5.7065625372 0.2363724932
110025 16.3488460918 0.2382271260
110579 40.2885262290 0.2472843867
110643 40.6337507021 0.2498628524
110908 41.6698595593 0.2606307964
111030 41.7978868679 0.2657145192
