position COMBINED_rate(cM/Mb) Genetic_Map(cM)
204938 0.2214599891 0
207859 0.2213076426 0.0006468846
210772 0.2213078499 0.0012915538
211970 0.2215185766 0.0015566806
212033 0.2216183478 0.0015706363
217034 0.5755014328 0.0026789496
217544 1.8320684644 0.0029724554
218039 1.8311074306 0.0038793292
218213 1.8285203221 0.0041979419
218614 1.7757860518 0.0049311786
227245 1.8047069888 0.0202579880
228717 1.8259604498 0.0229145167
228776 1.8701725155 0.0230222484
230645 2.2068512830 0.0265176008
231299 2.2581877095 0.0279608815
232360 2.9319711942 0.0303568187
233753 3.2040043919 0.0344410546
239246 7.6205580626 0.0520406507
239320 8.4426668421 0.0526045720
239374 8.6596607153 0.0530604760
239738 8.6646864943 0.0562125925
243082 10.7762168499 0.0851873041
243583 10.9856808764 0.0905861888
243901 10.9988181409 0.0940796353
243940 11.0156338444 0.0945085892
244346 11.6691698183 0.0989809365
244671 11.6691698183 0.1027734167
244828 11.6766469023 0.1046054764
244913 11.6966709100 0.1055979914
244934 11.7208345522 0.1058436215
245212 12.4863524123 0.1091020135
245457 16.2953562946 0.1121611698
245526 16.3335293189 0.1132855494
246131 16.3335293189 0.1231673346
246295 11.2974756406 0.1258460334
247458 8.2654431329 0.1389849976
252619 3.4906424832 0.1816429496
252639 1.2713735356 0.1817127625
252668 0.5618966837 0.1817496323
252900 0.5358903439 0.1818799923
255499 0.5356132234 0.1832727713
255526 0.5359767195 0.1832872329
262037 0.7544876453 0.1867769773
262825 0.9208013065 0.1873715136
267040 0.5138953769 0.1912526911
270822 0.3149122238 0.1931962434
277481 0.2740389716 0.1952932439
278182 0.2511468261 0.1954853452
278323 0.2334270491 0.1955207569
278683 0.2206966928 0.1956047907
278821 0.2206069893 0.1956352468
278998 0.2144909226 0.1956742942
279855 0.2148346456 0.1958581130
281263 0.2226478434 0.1961606001
282028 0.2425559158 0.1963309257
285474 0.3513623508 0.1971667734
286055 1.1889318173 0.1973709149
286946 0.5156696136 0.1984302532
291700 0.9963505156 0.2008817465
292899 0.9806465604 0.2020763708
293617 0.9724553037 0.2027804750
295053 0.9498138913 0.2041769209
299743 0.9256228155 0.2086315480
300160 0.9212410787 0.2090175327
303341 0.9064649893 0.2119480006
305248 1.0675290298 0.2136766293
309990 3.5943915233 0.2187388520
313283 3.6074189324 0.2305751833
314127 11.6596827017 0.2336198449
315695 11.6460321654 0.2519022273
317451 11.8513736785 0.2723526598
317680 12.1438519441 0.2750666244
318089 13.8307374713 0.2800334598
318313 23.5340587986 0.2831315450
323661 23.6049884998 0.4089916915
323775 23.6474925363 0.4116826602
324897 23.6474925363 0.4382151468
327008 23.5896677276 0.4881350035
327382 12.2377854007 0.4969575393
327585 2.8279891700 0.4994418097
330003 2.7975830717 0.5062798875
334057 6.9484588244 0.5176212893
335644 7.0096212256 0.5286484934
335724 7.0461406407 0.5292092631
335812 7.0452704254 0.5298293235
338791 7.0459220066 0.5508171841
339413 7.0460465188 0.5551997476
340397 7.0481830393 0.5621330574
340805 7.0479627935 0.5650087161
340873 7.0469484254 0.5654879775
341206 7.0472375754 0.5678346114
341341 7.0430906901 0.5687859884
341627 6.9463338048 0.5708003124
342296 2.6013276895 0.5754474097
342569 2.2376349749 0.5761575721
342794 0.7791373705 0.5766610400
344044 0.7749631071 0.5776349617
347948 7.2208819288 0.5806604177
348111 7.5685234357 0.5818374214
348531 9.4124738437 0.5850162013
348896 10.9991689906 0.5884517542
352714 11.0312183770 0.6304465814
352818 11.1083500114 0.6315938282
353491 16.6336546373 0.6390697477
353556 23.2838179608 0.6401509353
356929 23.2838179608 0.7186872532
357370 23.2050166767 0.7289554170
357934 8.5253345205 0.7420430464
360977 8.4820073440 0.7679856393
362849 8.0955790013 0.7838639571
363730 4.5688320768 0.7909961622
366294 4.0729202229 0.8027106476
367231 3.0333878081 0.8065269739
367449 2.9111554132 0.8071882524
367664 2.9119350540 0.8078141508
367834 2.9142228997 0.8083091798
367963 2.9115726269 0.8086851145
368014 2.9147641424 0.8088336047
368262 2.9774545332 0.8095564662
368281 3.2061917307 0.8096130379
368396 4.5440609575 0.8099817499
368556 10.3125036633 0.8107087997
368714 12.1227184130 0.8123381753
368737 14.0456344089 0.8126169978
369178 14.0789526466 0.8188111226
369436 13.9758362924 0.8224434923
369507 13.8733392413 0.8234357767
369556 13.6784930993 0.8241155703
369624 13.6784930993 0.8250457079
369769 13.3545176220 0.8270290894
369786 13.0631375696 0.8272561162
370075 13.0631375696 0.8310313629
370204 13.0631375696 0.8327165077
370407 13.0343157905 0.8353683246
370471 13.0179687794 0.8362025208
370498 13.0179687794 0.8365540060
370531 12.9873903197 0.8369835989
371755 4.2854544753 0.8528801647
373238 1.3007953398 0.8592354937
373938 0.9028912265 0.8601460504
376559 0.9004793947 0.8625125283
379608 0.9066335219 0.8652580900
382029 1.2508760239 0.8674530497
382187 1.7385641675 0.8676506882
387690 2.0113419254 0.8772180068
389357 2.2907036202 0.8805709138
389584 2.4403155111 0.8810909035
389916 2.4538054347 0.8819010882
390393 2.4538020156 0.8830715534
391478 2.3746579615 0.8857339286
392195 2.2937967810 0.8874365584
392243 2.2143743424 0.8875466606
397887 2.2012906904 0.9000445894
399041 2.1893373169 0.9025848789
401282 2.1820920948 0.9074911838
401515 2.1772790839 0.9079996112
404750 2.1782848200 0.9150431091
405430 2.1891775070 0.9165243428
405955 2.1699240765 0.9176736610
406285 2.0990325103 0.9183897359
415612 2.0931114421 0.9379674121
423149 2.5676551345 0.9537431931
425588 3.1296764012 0.9600057039
429964 3.2628102085 0.9737011679
433160 3.2678591009 0.9841291093
433221 3.2783379494 0.9843284487
433984 3.2856395320 0.9868298206
435650 3.2845644329 0.9923036960
436177 3.2842349019 0.9940346615
442433 3.2305538352 1.0145808350
445057 3.0560278603 1.0230578083
446722 3.0474836179 1.0281460947
450978 3.0675817873 1.0411161849
452900 3.1204098663 1.0470120771
455830 3.0719846855 1.0561548780
458450 3.0697842899 1.0642034779
458731 3.0693659113 1.0650660873
459626 3.0621840095 1.0678131698
460158 3.0625803570 1.0694422517
460569 3.0649971754 1.0707009722
460717 3.0776667863 1.0711545918
460897 3.1003639287 1.0717085718
462453 3.1234948616 1.0765327381
465858 6.3372984426 1.0871682381
474110 6.3222974639 1.1394636248
476105 5.8056528020 1.1520766083
476739 5.6477581065 1.1557573922
480004 5.8177687809 1.1741973224
484872 0.3414643255 1.2025182208
487610 0.3339471449 1.2034531501
487878 0.3219041876 1.2035426480
489160 0.3333449609 1.2039553291
489487 0.3287269544 1.2040643329
489531 0.3254981798 1.2040787969
489687 0.3265998673 1.2041295746
489740 0.3269658325 1.2041468844
489930 0.3314742774 1.2042090079
489974 0.3308605803 1.2042235928
489994 0.3368016502 1.2042302100
490174 0.3636989652 1.2042908343
490222 0.3995276055 1.2043082919
490250 0.4452961469 1.2043194786
490266 0.4856828591 1.2043266034
490593 0.6734670573 1.2044854217
490730 0.7096387040 1.2045776867
490817 0.6739381309 1.2046394252
490871 0.6742238862 1.2046758179
492217 0.6776232018 1.2055833232
492260 0.6806193798 1.2056124610
492685 0.6761934817 1.2059017243
492917 0.6773462077 1.2060586012
493009 0.6845756445 1.2061209170
493395 0.9012982602 1.2063851632
493473 1.2284201173 1.2064554645
493494 1.5024106244 1.2064812613
493654 1.5311866367 1.2067216470
493672 3.2769233687 1.2067492084
493674 5.1257976406 1.2067557622
494359 5.3993657147 1.2102669336
495140 9.4459997267 1.2144838382
495277 9.5071451746 1.2157779402
495315 9.5632185720 1.2161392117
500595 9.5571849867 1.2666330058
500678 9.5536754640 1.2674262521
502374 9.5515654311 1.2836292857
503231 9.5432648328 1.2918149773
503650 8.7169346115 1.2958136052
503689 6.9404725091 1.2961535657
505919 10.2897443734 1.3116308194
507112 11.1304082474 1.3239064844
507632 11.2123891834 1.3296942967
507692 11.3322277430 1.3303670401
509714 11.3970155471 1.3532808045
513292 11.3937776399 1.3940593262
513530 11.3838562564 1.3967710453
523317 5.8929879394 1.5081848464
523628 0.7377503819 1.5100175657
526083 0.7340272555 1.5118287429
528321 0.7812058148 1.5134714959
529208 0.8862944700 1.5141644254
530100 1.2802738126 1.5149550001
532633 1.5325430603 1.5181979337
532815 1.6054515441 1.5184768565
533505 3.7422356516 1.5195846181
533775 5.4800369707 1.5205950217
539305 5.1444963325 1.5508996261
539860 4.8408987799 1.5537548216
544889 8.4331355608 1.5780997016
545599 9.9031108091 1.5840872278
556985 10.0582210390 1.6968440475
558984 10.0495898001 1.7169504313
561729 9.9431168946 1.7445365553
565967 3.1988861555 1.7866754847
569159 0.2730710298 1.7968863294
575090 0.2730912857 1.7985059136
575502 0.2732048706 1.7986184272
579181 1.8829647186 1.7996235480
580303 1.7274083201 1.8017362344
580438 3.6204132640 1.8019694345
585095 3.9249211954 1.8188296991
589853 4.6230455095 1.8375044741
592215 4.7770705013 1.8484241076
593955 4.9716279336 1.8567362103
597151 5.8526179253 1.8726255332
597900 6.0147085399 1.8770091440
598039 6.0296489060 1.8778451885
598251 6.0293687802 1.8791234740
602343 5.7125339384 1.9037956511
602852 4.4501783119 1.9067033309
606608 2.8875443289 1.9234182006
608666 2.8843970865 1.9293607668
611913 2.8853825762 1.9387264042
612080 2.8917528434 1.9392082631
612781 2.8926681423 1.9412353818
614929 2.8878562117 1.9474488330
614956 2.8817045569 1.9475268051
616186 2.8792818406 1.9510713017
617926 2.8785006577 1.9560812521
618118 2.8791016387 1.9566339242
621525 2.9110667187 1.9664430235
621606 2.9644170145 1.9666788199
621828 11.6834370117 1.9673369205
625443 11.1417342230 2.0095725453
626106 2.2397608195 2.0169595151
